explanation,label,input_size,avg_t,min_t,max_t,std_t,size_in_megabytes
random access to position 7535329,rand_acc,7535329,0.023578,0.020000,0.031000,0.004800,0.000000
random access to position 2562547,rand_acc,2562547,0.023398,0.020000,0.031000,0.004732,0.000000
random access to position 151144,rand_acc,151144,0.023555,0.020000,0.031000,0.004799,0.000000
random access to position 249689,rand_acc,249689,0.023656,0.020000,0.031000,0.004823,0.000000
random access to position 5466377,rand_acc,5466377,0.023648,0.020000,0.031000,0.004811,0.000000
random access to position 9876886,rand_acc,9876886,0.025047,0.020000,0.031000,0.005020,0.000000
random access to position 5875274,rand_acc,5875274,0.024281,0.020000,0.031000,0.004970,0.000000
random access to position 7760549,rand_acc,7760549,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 3934698,rand_acc,3934698,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 5997671,rand_acc,5997671,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 9846937,rand_acc,9846937,0.023492,0.020000,0.031000,0.004765,0.000000
random access to position 2511984,rand_acc,2511984,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 8059714,rand_acc,8059714,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 3948284,rand_acc,3948284,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 2055899,rand_acc,2055899,0.023656,0.020000,0.031000,0.004823,0.000000
random access to position 7095878,rand_acc,7095878,0.023648,0.020000,0.031000,0.004828,0.000000
random access to position 4884683,rand_acc,4884683,0.023719,0.020000,0.031000,0.004822,0.000000
random access to position 7324318,rand_acc,7324318,0.023320,0.020000,0.031000,0.004705,0.000000
random access to position 7712600,rand_acc,7712600,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 7421005,rand_acc,7421005,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 7891986,rand_acc,7891986,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 7693357,rand_acc,7693357,0.023406,0.020000,0.031000,0.004728,0.000000
random access to position 8348847,rand_acc,8348847,0.023312,0.020000,0.031000,0.004710,0.000000
random access to position 9571452,rand_acc,9571452,0.023414,0.020000,0.031000,0.004756,0.000000
random access to position 3691197,rand_acc,3691197,0.023570,0.020000,0.031000,0.004805,0.000000
random access to position 1657029,rand_acc,1657029,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 9154496,rand_acc,9154496,0.023398,0.020000,0.031000,0.004749,0.000000
random access to position 4117093,rand_acc,4117093,0.023578,0.020000,0.031000,0.004800,0.000000
random access to position 4351581,rand_acc,4351581,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 3030034,rand_acc,3030034,0.023641,0.020000,0.031000,0.004800,0.000000
random access to position 3018650,rand_acc,3018650,0.023500,0.020000,0.031000,0.004760,0.000000
random access to position 9182158,rand_acc,9182158,0.023398,0.020000,0.031000,0.004716,0.000000
random access to position 3239298,rand_acc,3239298,0.023648,0.020000,0.031000,0.004811,0.000000
random access to position 5647661,rand_acc,5647661,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 2775799,rand_acc,2775799,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 7157709,rand_acc,7157709,0.023656,0.020000,0.031000,0.004806,0.000000
random access to position 1051019,rand_acc,1051019,0.023469,0.020000,0.031000,0.004763,0.000000
random access to position 7442196,rand_acc,7442196,0.023266,0.020000,0.031000,0.004680,0.000000
random access to position 6141563,rand_acc,6141563,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 894538,rand_acc,894538,0.023406,0.020000,0.031000,0.004728,0.000000
random access to position 4492776,rand_acc,4492776,0.023328,0.020000,0.031000,0.004701,0.000000
random access to position 9691946,rand_acc,9691946,0.076320,0.020000,6.743000,0.591593,0.000000
random access to position 6674806,rand_acc,6674806,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 8414458,rand_acc,8414458,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 2390840,rand_acc,2390840,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 3403286,rand_acc,3403286,0.023641,0.020000,0.031000,0.004800,0.000000
random access to position 3051531,rand_acc,3051531,0.023398,0.020000,0.031000,0.004749,0.000000
random access to position 7950611,rand_acc,7950611,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 7310145,rand_acc,7310145,0.023492,0.020000,0.031000,0.004748,0.000000
random access to position 2840729,rand_acc,2840729,0.023391,0.020000,0.031000,0.004737,0.000000
random access to position 8119575,rand_acc,8119575,0.023641,0.020000,0.031000,0.004800,0.000000
random access to position 268996,rand_acc,268996,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 3988040,rand_acc,3988040,0.023398,0.020000,0.031000,0.004749,0.000000
random access to position 5646419,rand_acc,5646419,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 553880,rand_acc,553880,0.023406,0.020000,0.031000,0.004728,0.000000
random access to position 8661547,rand_acc,8661547,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 8556737,rand_acc,8556737,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 4956255,rand_acc,4956255,0.023625,0.020000,0.031000,0.004794,0.000000
random access to position 286641,rand_acc,286641,0.024641,0.020000,0.031000,0.004975,0.000000
random access to position 33779,rand_acc,33779,0.027172,0.020000,0.040000,0.004714,0.000000
random access to position 5568522,rand_acc,5568522,0.024508,0.020000,0.031000,0.004989,0.000000
random access to position 123555,rand_acc,123555,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 4877772,rand_acc,4877772,0.023570,0.020000,0.031000,0.004789,0.000000
random access to position 6296730,rand_acc,6296730,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 7041039,rand_acc,7041039,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 8699893,rand_acc,8699893,0.023734,0.020000,0.031000,0.004860,0.000000
random access to position 6395769,rand_acc,6395769,0.023641,0.020000,0.031000,0.004800,0.000000
random access to position 2182050,rand_acc,2182050,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 7126690,rand_acc,7126690,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 5745104,rand_acc,5745104,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 2302378,rand_acc,2302378,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 208218,rand_acc,208218,0.023328,0.020000,0.031000,0.004717,0.000000
random access to position 3990494,rand_acc,3990494,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 8707216,rand_acc,8707216,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 3427600,rand_acc,3427600,0.023492,0.020000,0.031000,0.004781,0.000000
random access to position 112008,rand_acc,112008,0.023711,0.020000,0.031000,0.004827,0.000000
random access to position 8282409,rand_acc,8282409,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 7662597,rand_acc,7662597,0.023570,0.020000,0.031000,0.004789,0.000000
random access to position 2427024,rand_acc,2427024,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 9874711,rand_acc,9874711,0.023492,0.020000,0.031000,0.004765,0.000000
random access to position 3900401,rand_acc,3900401,0.023383,0.020000,0.031000,0.004725,0.000000
random access to position 6817749,rand_acc,6817749,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 6610041,rand_acc,6610041,0.023719,0.020000,0.031000,0.004822,0.000000
random access to position 6909525,rand_acc,6909525,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 7613950,rand_acc,7613950,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 394882,rand_acc,394882,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 4824541,rand_acc,4824541,0.023477,0.020000,0.031000,0.004775,0.000000
random access to position 7829913,rand_acc,7829913,0.023500,0.020000,0.031000,0.004760,0.000000
random access to position 7539016,rand_acc,7539016,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 8710680,rand_acc,8710680,0.023641,0.020000,0.031000,0.004849,0.000000
random access to position 1219654,rand_acc,1219654,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 3822302,rand_acc,3822302,0.023547,0.020000,0.031000,0.004787,0.000000
random access to position 8057262,rand_acc,8057262,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 4356647,rand_acc,4356647,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 7138566,rand_acc,7138566,0.070922,0.020000,6.072000,0.532531,0.000000
random access to position 5844055,rand_acc,5844055,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 1197020,rand_acc,1197020,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 3530942,rand_acc,3530942,0.023547,0.020000,0.031000,0.004787,0.000000
random access to position 963828,rand_acc,963828,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 3951135,rand_acc,3951135,0.023719,0.020000,0.031000,0.004838,0.000000
random access to position 6628915,rand_acc,6628915,0.023625,0.020000,0.031000,0.004810,0.000000
random access to position 9768859,rand_acc,9768859,0.023398,0.020000,0.031000,0.004749,0.000000
random access to position 7239118,rand_acc,7239118,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 4440013,rand_acc,4440013,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 830472,rand_acc,830472,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 5323602,rand_acc,5323602,0.023469,0.020000,0.031000,0.004763,0.000000
random access to position 3809158,rand_acc,3809158,0.023648,0.020000,0.031000,0.004811,0.000000
random access to position 9826807,rand_acc,9826807,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 9658619,rand_acc,9658619,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 679731,rand_acc,679731,0.023398,0.020000,0.031000,0.004732,0.000000
random access to position 4474272,rand_acc,4474272,0.023641,0.020000,0.031000,0.004833,0.000000
random access to position 5629067,rand_acc,5629067,0.023789,0.020000,0.031000,0.004863,0.000000
random access to position 1224365,rand_acc,1224365,0.024492,0.020000,0.031000,0.004986,0.000000
random access to position 9102816,rand_acc,9102816,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 1321686,rand_acc,1321686,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 3371822,rand_acc,3371822,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 2857277,rand_acc,2857277,0.023812,0.020000,0.031000,0.004847,0.000000
random access to position 2343228,rand_acc,2343228,0.023641,0.020000,0.031000,0.004800,0.000000
random access to position 7798519,rand_acc,7798519,0.023398,0.020000,0.031000,0.004732,0.000000
random access to position 2391135,rand_acc,2391135,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 9242528,rand_acc,9242528,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 7442363,rand_acc,7442363,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 8132745,rand_acc,8132745,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 710192,rand_acc,710192,0.023477,0.020000,0.031000,0.004775,0.000000
random access to position 9111248,rand_acc,9111248,0.023547,0.020000,0.031000,0.004787,0.000000
random access to position 603327,rand_acc,603327,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 8137609,rand_acc,8137609,0.023492,0.020000,0.031000,0.004765,0.000000
random access to position 9332911,rand_acc,9332911,0.023477,0.020000,0.031000,0.004775,0.000000
random access to position 8499268,rand_acc,8499268,0.023719,0.020000,0.031000,0.004838,0.000000
random access to position 2473767,rand_acc,2473767,0.023320,0.020000,0.031000,0.004705,0.000000
random access to position 4972571,rand_acc,4972571,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 7312193,rand_acc,7312193,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 395094,rand_acc,395094,0.023656,0.020000,0.031000,0.004823,0.000000
random access to position 9541348,rand_acc,9541348,0.023633,0.020000,0.031000,0.004822,0.000000
random access to position 6932904,rand_acc,6932904,0.023555,0.020000,0.031000,0.004799,0.000000
random access to position 5305905,rand_acc,5305905,0.023570,0.020000,0.031000,0.004805,0.000000
random access to position 6301757,rand_acc,6301757,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 2131909,rand_acc,2131909,0.023727,0.020000,0.031000,0.004833,0.000000
random access to position 4436628,rand_acc,4436628,0.023477,0.020000,0.031000,0.004775,0.000000
random access to position 7836959,rand_acc,7836959,0.023484,0.020000,0.031000,0.004786,0.000000
random access to position 4828126,rand_acc,4828126,0.023328,0.020000,0.031000,0.004717,0.000000
random access to position 7538914,rand_acc,7538914,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 546706,rand_acc,546706,0.023648,0.020000,0.031000,0.004811,0.000000
random access to position 4550863,rand_acc,4550863,0.023727,0.020000,0.031000,0.004849,0.000000
random access to position 6397656,rand_acc,6397656,0.023320,0.020000,0.031000,0.004705,0.000000
random access to position 5279043,rand_acc,5279043,0.023570,0.020000,0.031000,0.004789,0.000000
random access to position 3222644,rand_acc,3222644,0.023570,0.020000,0.031000,0.004805,0.000000
random access to position 628891,rand_acc,628891,0.023320,0.020000,0.031000,0.004705,0.000000
random access to position 6420279,rand_acc,6420279,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 2795070,rand_acc,2795070,0.023320,0.020000,0.031000,0.004705,0.000000
random access to position 5800055,rand_acc,5800055,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 6797821,rand_acc,6797821,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 1532882,rand_acc,1532882,0.023812,0.020000,0.031000,0.004863,0.000000
random access to position 4984157,rand_acc,4984157,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 3629345,rand_acc,3629345,0.023797,0.020000,0.031000,0.004842,0.000000
random access to position 1291209,rand_acc,1291209,0.023391,0.020000,0.031000,0.004737,0.000000
random access to position 5650507,rand_acc,5650507,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 539910,rand_acc,539910,0.023336,0.020000,0.031000,0.004696,0.000000
random access to position 4993761,rand_acc,4993761,0.023648,0.020000,0.031000,0.004828,0.000000
random access to position 4666936,rand_acc,4666936,0.023633,0.020000,0.031000,0.004822,0.000000
random access to position 7967356,rand_acc,7967356,0.023633,0.020000,0.031000,0.004822,0.000000
random access to position 204636,rand_acc,204636,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 2032157,rand_acc,2032157,0.023562,0.020000,0.031000,0.004810,0.000000
random access to position 5162129,rand_acc,5162129,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 1989531,rand_acc,1989531,0.023320,0.020000,0.031000,0.004705,0.000000
random access to position 9859031,rand_acc,9859031,0.023719,0.020000,0.031000,0.004822,0.000000
random access to position 5312644,rand_acc,5312644,0.023406,0.020000,0.031000,0.004728,0.000000
random access to position 5556954,rand_acc,5556954,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 7501605,rand_acc,7501605,0.027102,0.020000,0.100000,0.008165,0.000000
random access to position 554262,rand_acc,554262,0.027867,0.020000,0.040000,0.005019,0.000000
random access to position 8422844,rand_acc,8422844,0.027711,0.020000,0.040000,0.004773,0.000000
random access to position 7893786,rand_acc,7893786,0.028164,0.020000,0.031000,0.003907,0.000000
random access to position 4595901,rand_acc,4595901,0.027164,0.020000,0.031000,0.004539,0.000000
random access to position 2681318,rand_acc,2681318,0.027305,0.020000,0.050000,0.005120,0.000000
random access to position 1716393,rand_acc,1716393,0.027547,0.020000,0.050000,0.005474,0.000000
random access to position 902293,rand_acc,902293,0.027094,0.020000,0.040000,0.004927,0.000000
random access to position 1029211,rand_acc,1029211,0.027242,0.020000,0.040000,0.004672,0.000000
random access to position 5434177,rand_acc,5434177,0.023719,0.020000,0.031000,0.004822,0.000000
random access to position 9006040,rand_acc,9006040,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 6483443,rand_acc,6483443,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 9332749,rand_acc,9332749,0.023719,0.020000,0.031000,0.004822,0.000000
random access to position 3251196,rand_acc,3251196,0.023398,0.020000,0.031000,0.004732,0.000000
random access to position 6991270,rand_acc,6991270,0.023727,0.020000,0.031000,0.004849,0.000000
random access to position 6642138,rand_acc,6642138,0.023492,0.020000,0.031000,0.004797,0.000000
random access to position 8079782,rand_acc,8079782,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 2351915,rand_acc,2351915,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 1526780,rand_acc,1526780,0.023570,0.020000,0.031000,0.004789,0.000000
random access to position 7064440,rand_acc,7064440,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 955093,rand_acc,955093,0.023641,0.020000,0.031000,0.004800,0.000000
random access to position 7625431,rand_acc,7625431,0.023648,0.020000,0.031000,0.004811,0.000000
random access to position 3394207,rand_acc,3394207,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 769217,rand_acc,769217,0.023570,0.020000,0.031000,0.004805,0.000000
random access to position 5100993,rand_acc,5100993,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 538205,rand_acc,538205,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 4072921,rand_acc,4072921,0.023656,0.020000,0.031000,0.004823,0.000000
random access to position 2113506,rand_acc,2113506,0.023719,0.020000,0.031000,0.004854,0.000000
